"","Cov.Eff.Dist","Cov.Val.Dist","Structure"
"369","Dist3","Dist1","Random"
"370","Dist3","Dist2","Gleasonian"
"371","Dist3","Dist3","Quasi-Clementsian"
"372","Dist3","Dist4","Quasi-Nested"
"373","Dist3","Dist5","Random"
"374","Dist3","Dist6","Random"
"375","Dist3","Dist7","Quasi-Nested"
"376","Dist3","Dist8","Quasi-Nested"
"377","Dist4","Dist1","Clementsian"
"378","Dist4","Dist2","Clementsian"
"379","Dist4","Dist3","Quasi-Clementsian"
"380","Dist4","Dist4","Clementsian"
"381","Dist4","Dist5","Clementsian"
"382","Dist4","Dist6","Clementsian"
"383","Dist4","Dist7","Quasi-Nested"
"384","Dist4","Dist8","Quasi-Nested"
"385","Dist1","Dist1","Random"
"386","Dist1","Dist2","Clementsian"
"387","Dist1","Dist3","Nested"
"388","Dist1","Dist4","Random"
"389","Dist1","Dist5","Random"
"390","Dist1","Dist6","Random"
"391","Dist1","Dist7","Random"
"392","Dist1","Dist8","Quasi-Nested"
"393","Dist2","Dist1","Clementsian"
"394","Dist2","Dist2","Clementsian"
"395","Dist2","Dist3","Quasi-Nested"
"396","Dist2","Dist4","Quasi-Nested"
"397","Dist2","Dist5","Random"
"398","Dist2","Dist6","Gleasonian"
"399","Dist2","Dist7","Quasi-Nested"
"400","Dist2","Dist8","Nested"
"401","Dist3","Dist1","Random"
"402","Dist3","Dist2","Clementsian"
"403","Dist3","Dist3","Quasi-Clementsian"
"404","Dist3","Dist4","Random"
"405","Dist3","Dist5","Random"
"406","Dist3","Dist6","Clementsian"
"407","Dist3","Dist7","Quasi-Clementsian"
"408","Dist3","Dist8","Quasi-Nested"
"409","Dist4","Dist1","Clementsian"
"410","Dist4","Dist2","Clementsian"
"411","Dist4","Dist3","Quasi-Nested"
"412","Dist4","Dist4","Random"
"413","Dist4","Dist5","Random"
"414","Dist4","Dist6","Clementsian"
"415","Dist4","Dist7","Nested"
"416","Dist4","Dist8","Quasi-Nested"
"417","Dist1","Dist1","Random"
"418","Dist1","Dist2","Clementsian"
"419","Dist1","Dist3","Random"
"420","Dist1","Dist4","Quasi-Clementsian"
"421","Dist1","Dist5","Random"
"422","Dist1","Dist6","Clementsian"
"423","Dist1","Dist7","Random"
"424","Dist1","Dist8","Quasi-Nested"
"425","Dist2","Dist1","Clementsian"
"426","Dist2","Dist2","Clementsian"
"427","Dist2","Dist3","Clementsian"
"428","Dist2","Dist4","Quasi-Clementsian"
"429","Dist2","Dist5","Random"
"430","Dist2","Dist6","Clementsian"
"431","Dist2","Dist7","Quasi-Clementsian"
"432","Dist2","Dist8","Quasi-Nested"
"433","Dist3","Dist1","Checkerboard"
"434","Dist3","Dist2","Clementsian"
"435","Dist3","Dist3","Clementsian"
"436","Dist3","Dist4","Random"
"437","Dist3","Dist5","Random"
"438","Dist3","Dist6","Random"
"439","Dist3","Dist7","Random"
"440","Dist3","Dist8","Nested"
"441","Dist4","Dist1","Clementsian"
"442","Dist4","Dist2","Clementsian"
"443","Dist4","Dist3","Random"
"444","Dist4","Dist4","Quasi-Nested"
"445","Dist4","Dist5","Clementsian"
"446","Dist4","Dist6","Clementsian"
"447","Dist4","Dist7","Random"
"448","Dist4","Dist8","Quasi-Nested"
"449","Dist1","Dist1","Random"
"450","Dist1","Dist2","Clementsian"
"451","Dist1","Dist3","Random"
"452","Dist1","Dist4","Quasi-Clementsian"
"453","Dist1","Dist5","Random"
"454","Dist1","Dist6","Gleasonian"
"455","Dist1","Dist7","Quasi-Nested"
"456","Dist1","Dist8","Quasi-Clementsian"
"457","Dist2","Dist1","Clementsian"
"458","Dist2","Dist2","Clementsian"
"459","Dist2","Dist3","Quasi-Clementsian"
"460","Dist2","Dist4","Quasi-Clementsian"
"461","Dist2","Dist5","Quasi-Clementsian"
"462","Dist2","Dist6","Clementsian"
"463","Dist2","Dist7","Random"
"464","Dist2","Dist8","Quasi-Clementsian"
"465","Dist3","Dist1","Random"
"466","Dist3","Dist2","Clementsian"
"467","Dist3","Dist3","Quasi-Clementsian"
"468","Dist3","Dist4","Quasi-Nested"
"469","Dist3","Dist5","Random"
"470","Dist3","Dist6","Gleasonian"
"471","Dist3","Dist7","Random"
"472","Dist3","Dist8","Quasi-Nested"
"473","Dist4","Dist1","Clementsian"
"474","Dist4","Dist2","Clementsian"
"475","Dist4","Dist3","Nested"
"476","Dist4","Dist4","Quasi-Nested"
"477","Dist4","Dist5","Random"
"478","Dist4","Dist6","Clementsian"
"479","Dist4","Dist7","Quasi-Clementsian"
"480","Dist4","Dist8","Quasi-Nested"
"481","Dist1","Dist1","Random"
"482","Dist1","Dist2","Gleasonian"
"483","Dist1","Dist3","Quasi-Clementsian"
"484","Dist1","Dist4","Random"
"485","Dist1","Dist5","Random"
"486","Dist1","Dist6","Gleasonian"
"487","Dist1","Dist7","Random"
"488","Dist1","Dist8","Quasi-Nested"
"489","Dist2","Dist1","Random"
"490","Dist2","Dist2","Clementsian"
"491","Dist2","Dist3","Random"
"492","Dist2","Dist4","Quasi-Nested"
"493","Dist2","Dist5","Random"
"494","Dist2","Dist6","Gleasonian"
"495","Dist2","Dist7","Random"
"496","Dist2","Dist8","Quasi-Nested"
"497","Dist3","Dist1","Random"
"498","Dist3","Dist2","Clementsian"
